,n_trades,total_return
Expt_3_5m_intervals_settings_3_1,72,-0.004796614126946763
Expt_3_5m_intervals_settings_3_2,92,-0.010018095342017141
Expt_3_5m_intervals_settings_3_3,72,-0.006380459825893192
Expt_3_5m_intervals_settings_3_4,2485,-0.14987159706237885
Expt_3_30m_intervals_settings_3_1,79,-0.01744237655146863
Expt_3_30m_intervals_settings_3_2,57,-0.004512522708366884
Expt_3_30m_intervals_settings_3_3,79,-0.014694267526752847
Expt_3_30m_intervals_settings_3_4,1979,-0.23242253070176766
Expt_3_1h_intervals_settings_3_1,53,0.00596259727717352
Expt_3_1h_intervals_settings_3_2,13,-0.009455030371690043
Expt_3_1h_intervals_settings_3_3,53,0.009598171462244176
Expt_3_1h_intervals_settings_3_4,904,-0.08228653884028814
